period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh), metering rate (cts./kWh), annual metering cost (CHF p.a.)
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,4.951,0.37,4.58,720,14400,1.607,EKZ Mixstrom Business,5.149,0.412,4.737,0,0,5.149,0.65,2.3,12.267,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ  Netz 400,7.307,0.559,6.748,60,0,5.654,EKZ Mixstrom Privat,6.208,0.497,5.712,36,0,5.408,0.16,2.3,14.92,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,4.951,0.37,4.58,720,14400,1.607,EKZ Mixstrom Business,5.149,0.412,4.737,0,0,5.149,0.16,2.3,11.777,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400,6.326,0.48,5.845,60,0,4.673,EKZ Mixstrom Privat,5.977,0.478,5.499,36,0,5.177,0.65,2.3,14.294,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ  Netz 400,7.307,0.559,6.748,60,0,5.654,EKZ Mixstrom Privat,6.208,0.497,5.712,36,0,5.408,0.65,2.3,15.41,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,4.099,0.151,3.948,720,37440,1.235,EKZ Mixstrom Business,5.174,0.207,4.967,0,0,5.174,0.05,2.3,11.265,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,5.675,0.428,5.247,720,4800,1.675,EKZ Mixstrom Business,5.273,0.422,4.851,0,0,5.273,0.65,2.3,13.048,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400,6.774,0.516,6.258,60,0,5.654,EKZ Mixstrom Privat,5.888,0.471,5.417,36,0,5.408,0.16,2.3,14.135,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C7,EKZ Netz 16L,3.571,0.13,3.441,720,152568,1.208,EKZ Mixstrom Business,5.038,0.202,4.836,0,0,5.038,0.5,2.3,11.078,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ  Netz 400,7.977,0.613,7.364,60,0,6.907,EKZ Mixstrom Gewerbe,6.154,0.492,5.662,36,0,5.704,0.65,2.3,15.976,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400,9.759,0.755,9.003,60,0,5.689,EKZ Mixstrom Privat,7.666,0.613,7.053,36,0,5.416,0.65,2.3,19.007,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H2,EKZ  Netz 400,8.331,0.641,7.69,60,0,5.611,EKZ Mixstrom Privat,6.838,0.547,6.291,36,0,5.398,0.16,2.3,16.441,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400,9.759,0.755,9.003,60,0,5.689,EKZ Mixstrom Privat,7.666,0.613,7.053,36,0,5.416,0.16,2.3,18.517,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400,7.353,0.563,6.79,60,0,6.833,EKZ Mixstrom Gewerbe,5.806,0.465,5.342,36,0,5.686,0.65,2.3,15.082,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400,4.451,0.331,4.121,60,0,3.891,EKZ Mixstrom Privat,5.136,0.411,4.725,36,0,4.992,0.16,2.3,11.306,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H2,EKZ  Netz 400,8.331,0.641,7.69,60,0,5.611,EKZ Mixstrom Privat,6.838,0.547,6.291,36,0,5.398,0.65,2.3,16.931,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400 & EKZ Netz 400WP,5.848,0.442,5.406,120,0,4.605,EKZ Mixstrom Privat & EKZ Mixstrom WP,5.743,0.459,5.284,72,0,5.189,0.65,2.3,13.64,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ  Netz 400,7.977,0.613,7.364,60,0,6.907,EKZ Mixstrom Gewerbe,6.154,0.492,5.662,36,0,5.704,0.16,2.3,15.486,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400,5.925,0.448,5.477,60,0,4.805,EKZ Mixstrom Privat,5.688,0.455,5.233,36,0,5.208,0.65,2.3,13.659,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400 & EKZ Netz 400WP,5.848,0.442,5.406,120,0,4.605,EKZ Mixstrom Privat & EKZ Mixstrom WP,5.743,0.459,5.284,72,0,5.189,0.16,2.3,13.15,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400,5.925,0.448,5.477,60,0,4.805,EKZ Mixstrom Privat,5.688,0.455,5.233,36,0,5.208,0.16,2.3,13.169,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400,7.353,0.563,6.79,60,0,6.833,EKZ Mixstrom Gewerbe,5.806,0.465,5.342,36,0,5.686,0.16,2.3,14.592,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400,6.326,0.48,5.845,60,0,4.673,EKZ Mixstrom Privat,5.977,0.478,5.499,36,0,5.177,0.16,2.3,13.804,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C7,EKZ Netz 16L,3.571,0.13,3.441,720,152568,1.208,EKZ Mixstrom Business,5.038,0.202,4.836,0,0,5.038,0.01,2.3,10.588,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400,4.451,0.331,4.121,60,0,3.891,EKZ Mixstrom Privat,5.136,0.411,4.725,36,0,4.992,0.65,2.3,11.796,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,4.099,0.151,3.948,720,37440,1.235,EKZ Mixstrom Business,5.174,0.207,4.967,0,0,5.174,0.54,2.3,11.755,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400,6.774,0.516,6.258,60,0,5.654,EKZ Mixstrom Privat,5.888,0.471,5.417,36,0,5.408,0.65,2.3,14.625,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,4.502,0.167,4.334,720,14040,1.23,EKZ Mixstrom Business,5.149,0.206,4.943,0,0,5.149,0.65,2.3,12.227,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,5.675,0.428,5.247,720,4800,1.675,EKZ Mixstrom Business,5.273,0.422,4.851,0,0,5.273,0.16,2.3,12.558,,
2018,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,4.502,0.167,4.334,720,14040,1.23,EKZ Mixstrom Business,5.149,0.206,4.943,0,0,5.149,0.16,2.3,11.737,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,C7,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C2,Niederspannung (400V): Grundpreistarif,5.17,0,5.17,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,12.82,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H2,Niederspannung (400V): Grundpreistarif,7.37,0,7.37,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,15.02,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H1,Niederspannung (400V): Grundpreistarif,8.72,0,8.72,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,16.37,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H4,Niederspannung (400V): Grundpreistarif,6.303,0,6.303,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,13.953,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,C2,Niederspannung (400V): Grundpreistarif,5.17,0,5.17,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,12.82,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H3,Niederspannung (400V): Grundpreistarif,6.303,0,6.303,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,13.953,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,C6,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C1,Niederspannung (400V): Grundpreistarif,5.72,0,5.72,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,13.37,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H6,Niederspannung (400V): Grundpreistarif,5.21,0,5.21,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,12.86,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C4,Niederspannung (400V): Grundpreistarif,4.982,0,4.982,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,12.632,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C6,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H6,Niederspannung (400V): Grundpreistarif,5.21,0,5.21,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,12.86,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C5,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H5,Niederspannung (400V): Grundpreistarif,5.77,0,5.77,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,13.42,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H2,Niederspannung (400V): Grundpreistarif,7.37,0,7.37,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,15.02,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H1,Niederspannung (400V): Grundpreistarif,8.72,0,8.72,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,16.37,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H8,Niederspannung (400V): Grundpreistarif,5.77,0,5.77,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,13.42,,
2018,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H3,Niederspannung (400V): Grundpreistarif,6.303,0,6.303,60,0,4.65,Standard,4.85,0,4.85,0,0,4.85,0.5,2.3,13.953,,
