canton,year,reg_total,ev_reg_count,ev_reg_share
Aargau,2005,40882.0,0.0,0.0
Aargau,2006,41306.0,0.0,0.0
Aargau,2007,43586.0,0.0,0.0
Aargau,2008,43502.0,0.0,0.0
Aargau,2009,40834.0,0.0,0.0
Aargau,2010,45624.0,0.0,0.0
Aargau,2011,52154.0,0.0,0.0
Aargau,2012,52966.0,4.0,0.0075520144998678
Aargau,2013,47258.0,14.0,0.0296246138219983
Aargau,2014,47068.0,47.0,0.0998555281720064
Aargau,2015,50384.0,115.0,0.2282470625595427
Aargau,2016,49572.0,115.0,0.2319857984346001
Aargau,2017,48630.0,132.0,0.27143738433066
Aargau,2018,46516.0,90.0,0.1934818127096053
Aargau,2019,48122.0,470.0,0.9766842608370392
Aargau,2020,37082.0,397.0,1.0706002912464267
Aargau,2021,35902.0,525.0,1.4623140772101832
Aargau,2022,34634.0,663.0,1.91430386325576
Aargau,2023,38218.0,746.0,1.9519598095138415
Aargau,2024,35864.0,824.0,2.297568592460406
Appenzell Ausserrhoden,2005,3240.0,0.0,0.0
Appenzell Ausserrhoden,2006,3074.0,0.0,0.0
Appenzell Ausserrhoden,2007,2992.0,0.0,0.0
Appenzell Ausserrhoden,2008,3206.0,0.0,0.0
Appenzell Ausserrhoden,2009,3010.0,0.0,0.0
Appenzell Ausserrhoden,2010,3524.0,0.0,0.0
Appenzell Ausserrhoden,2011,3704.0,0.0,0.0
Appenzell Ausserrhoden,2012,3916.0,0.0,0.0
Appenzell Ausserrhoden,2013,3834.0,1.0,0.0260824204486176
Appenzell Ausserrhoden,2014,3202.0,1.0,0.0312304809494066
Appenzell Ausserrhoden,2015,3544.0,8.0,0.2257336343115124
Appenzell Ausserrhoden,2016,3362.0,14.0,0.4164187983343247
Appenzell Ausserrhoden,2017,3412.0,13.0,0.3810082063305979
Appenzell Ausserrhoden,2018,3120.0,7.0,0.2243589743589743
Appenzell Ausserrhoden,2019,3124.0,36.0,1.1523687580025608
Appenzell Ausserrhoden,2020,2126.0,25.0,1.175917215428034
Appenzell Ausserrhoden,2021,2176.0,31.0,1.4246323529411764
Appenzell Ausserrhoden,2022,2072.0,47.0,2.2683397683397684
Appenzell Ausserrhoden,2023,2240.0,47.0,2.0982142857142856
Appenzell Ausserrhoden,2024,2102.0,48.0,2.283539486203616
Appenzell Innerrhoden,2005,852.0,0.0,0.0
Appenzell Innerrhoden,2006,886.0,0.0,0.0
Appenzell Innerrhoden,2007,990.0,0.0,0.0
Appenzell Innerrhoden,2008,912.0,0.0,0.0
Appenzell Innerrhoden,2009,958.0,0.0,0.0
Appenzell Innerrhoden,2010,1062.0,0.0,0.0
Appenzell Innerrhoden,2011,1170.0,1.0,0.0854700854700854
Appenzell Innerrhoden,2012,1214.0,0.0,0.0
Appenzell Innerrhoden,2013,1090.0,2.0,0.1834862385321101
Appenzell Innerrhoden,2014,1084.0,2.0,0.1845018450184501
Appenzell Innerrhoden,2015,1276.0,2.0,0.1567398119122257
Appenzell Innerrhoden,2016,1226.0,9.0,0.734094616639478
Appenzell Innerrhoden,2017,1232.0,7.0,0.5681818181818182
Appenzell Innerrhoden,2018,1216.0,2.0,0.1644736842105263
Appenzell Innerrhoden,2019,1216.0,7.0,0.575657894736842
Appenzell Innerrhoden,2020,902.0,3.0,0.3325942350332594
Appenzell Innerrhoden,2021,920.0,7.0,0.7608695652173914
Appenzell Innerrhoden,2022,850.0,10.0,1.1764705882352942
Appenzell Innerrhoden,2023,880.0,16.0,1.818181818181818
Appenzell Innerrhoden,2024,962.0,16.0,1.6632016632016633
Basel-Landschaft,2005,16106.0,0.0,0.0
Basel-Landschaft,2006,16594.0,0.0,0.0
Basel-Landschaft,2007,16958.0,0.0,0.0
Basel-Landschaft,2008,16778.0,0.0,0.0
Basel-Landschaft,2009,15956.0,0.0,0.0
Basel-Landschaft,2010,17490.0,0.0,0.0
Basel-Landschaft,2011,19800.0,0.0,0.0
Basel-Landschaft,2012,19790.0,0.0,0.0
Basel-Landschaft,2013,18040.0,5.0,0.0277161862527716
Basel-Landschaft,2014,16988.0,9.0,0.0529785731104308
Basel-Landschaft,2015,18194.0,49.0,0.2693195558975486
Basel-Landschaft,2016,18330.0,54.0,0.2945990180032733
Basel-Landschaft,2017,17864.0,72.0,0.4030452306314375
Basel-Landschaft,2018,17160.0,53.0,0.3088578088578089
Basel-Landschaft,2019,17900.0,202.0,1.128491620111732
Basel-Landschaft,2020,14126.0,170.0,1.20345462268158
Basel-Landschaft,2021,14146.0,214.0,1.5127951364343275
Basel-Landschaft,2022,13196.0,302.0,2.2885722946347378
Basel-Landschaft,2023,14600.0,360.0,2.4657534246575343
Basel-Landschaft,2024,13520.0,341.0,2.522189349112426
Basel-Stadt,2005,13254.0,0.0,0.0
Basel-Stadt,2006,13716.0,0.0,0.0
Basel-Stadt,2007,15772.0,0.0,0.0
Basel-Stadt,2008,16334.0,0.0,0.0
Basel-Stadt,2009,14100.0,0.0,0.0
Basel-Stadt,2010,16508.0,0.0,0.0
Basel-Stadt,2011,16330.0,0.0,0.0
Basel-Stadt,2012,17096.0,0.0,0.0
Basel-Stadt,2013,17038.0,4.0,0.023476933912431
Basel-Stadt,2014,16332.0,11.0,0.0673524369336272
Basel-Stadt,2015,14928.0,20.0,0.1339764201500536
Basel-Stadt,2016,14906.0,30.0,0.2012612370857373
Basel-Stadt,2017,15352.0,37.0,0.2410109431995831
Basel-Stadt,2018,15522.0,35.0,0.2254864063909289
Basel-Stadt,2019,15684.0,104.0,0.6630961489415965
Basel-Stadt,2020,10268.0,112.0,1.090767432800935
Basel-Stadt,2021,9994.0,111.0,1.110666399839904
Basel-Stadt,2022,7474.0,173.0,2.3146909285523147
Basel-Stadt,2023,9074.0,183.0,2.016751157152304
Basel-Stadt,2024,10016.0,189.0,1.8869808306709264
Bern / Berne,2005,55056.0,0.0,0.0
Bern / Berne,2006,54330.0,0.0,0.0
Bern / Berne,2007,53978.0,0.0,0.0
Bern / Berne,2008,55366.0,0.0,0.0
Bern / Berne,2009,50820.0,0.0,0.0
Bern / Berne,2010,56662.0,1.0,0.0017648512230418
Bern / Berne,2011,64050.0,5.0,0.0078064012490242
Bern / Berne,2012,64966.0,3.0,0.0046178000800418
Bern / Berne,2013,59086.0,21.0,0.0355414142097958
Bern / Berne,2014,58332.0,39.0,0.0668586710553384
Bern / Berne,2015,61954.0,122.0,0.1969202957032637
Bern / Berne,2016,59480.0,142.0,0.2387357094821789
Bern / Berne,2017,58740.0,180.0,0.306435137895812
Bern / Berne,2018,55272.0,107.0,0.1935880735272832
Bern / Berne,2019,58200.0,492.0,0.8453608247422681
Bern / Berne,2020,46022.0,416.0,0.9039155186649862
Bern / Berne,2021,46518.0,512.0,1.100649211058085
Bern / Berne,2022,47692.0,688.0,1.44258995219324
Bern / Berne,2023,49934.0,657.0,1.3157367725397524
Bern / Berne,2024,48526.0,735.0,1.5146519391666324
Bund,2005,1022.0,0.0,0.0
Bund,2006,1160.0,0.0,0.0
Bund,2007,1216.0,0.0,0.0
Bund,2008,1038.0,0.0,0.0
Bund,2009,758.0,0.0,0.0
Bund,2010,1032.0,0.0,0.0
Bund,2011,1016.0,0.0,0.0
Bund,2012,2306.0,0.0,0.0
Bund,2013,2654.0,0.0,0.0
Bund,2014,1610.0,0.0,0.0
Bund,2015,674.0,0.0,0.0
Bund,2016,1430.0,0.0,0.0
Bund,2017,798.0,0.0,0.0
Bund,2018,3034.0,1.0,0.03295978905735
Bund,2019,582.0,0.0,0.0
Bund,2020,712.0,0.0,0.0
Bund,2021,172.0,1.0,0.5813953488372093
Bund,2022,436.0,0.0,0.0
Bund,2023,256.0,0.0,0.0
Bund,2024,250.0,1.0,0.4
Fribourg / Freiburg,2005,17550.0,0.0,0.0
Fribourg / Freiburg,2006,17708.0,0.0,0.0
Fribourg / Freiburg,2007,18978.0,0.0,0.0
Fribourg / Freiburg,2008,19724.0,0.0,0.0
Fribourg / Freiburg,2009,20424.0,0.0,0.0
Fribourg / Freiburg,2010,23118.0,0.0,0.0
Fribourg / Freiburg,2011,26412.0,0.0,0.0
Fribourg / Freiburg,2012,25386.0,0.0,0.0
Fribourg / Freiburg,2013,24854.0,4.0,0.0160939888951476
Fribourg / Freiburg,2014,23246.0,9.0,0.0387163382947603
Fribourg / Freiburg,2015,25572.0,31.0,0.1212263413108086
Fribourg / Freiburg,2016,24352.0,38.0,0.1560446780551905
Fribourg / Freiburg,2017,24102.0,42.0,0.1742593975603684
Fribourg / Freiburg,2018,23182.0,37.0,0.1596065913208524
Fribourg / Freiburg,2019,24210.0,194.0,0.8013217678645188
Fribourg / Freiburg,2020,19318.0,202.0,1.0456569003002385
Fribourg / Freiburg,2021,20952.0,272.0,1.2982054219167622
Fribourg / Freiburg,2022,19410.0,405.0,2.0865533230293662
Fribourg / Freiburg,2023,20846.0,339.0,1.6262112635517605
Fribourg / Freiburg,2024,20082.0,318.0,1.5835076187630712
Genève,2005,30804.0,0.0,0.0
Genève,2006,31650.0,0.0,0.0
Genève,2007,33852.0,0.0,0.0
Genève,2008,31234.0,0.0,0.0
Genève,2009,27908.0,0.0,0.0
Genève,2010,31308.0,0.0,0.0
Genève,2011,33736.0,0.0,0.0
Genève,2012,33330.0,1.0,0.003000300030003
Genève,2013,31216.0,6.0,0.0192209123526396
Genève,2014,29688.0,37.0,0.1246294799245486
Genève,2015,33138.0,93.0,0.280644577222524
Genève,2016,31268.0,98.0,0.3134194703850582
Genève,2017,30700.0,144.0,0.4690553745928339
Genève,2018,28216.0,104.0,0.3685851998865891
Genève,2019,27760.0,328.0,1.181556195965418
Genève,2020,22146.0,373.0,1.684277070351305
Genève,2021,22186.0,431.0,1.9426665464707475
